row,posture,communication,day12_difference,day12_ci_lower,day12_ci_upper,day12_p,days9_11_difference,days9_11_ci_lower,days9_11_ci_upper,days9_11_p,detours_per_day,n
q=1.00,permissive_memoryless,1.0,-0.009100563002175951,-0.01250394319068979,-0.005697182813662112,6.896514120438167e-06,-0.17070161527816766,-0.2820332151707999,-0.05937001538553545,0.003906640469963096,6.886666666666667,30
q=0.75,permissive_memoryless,0.75,-0.009100563002175951,-0.01250394319068979,-0.005697182813662112,6.896514120438167e-06,-0.17070161527816766,-0.2820332151707999,-0.05937001538553545,0.003906640469963096,6.886666666666667,30
q=0.50,permissive_memoryless,0.5,-0.009100563002896559,-0.012503943191210063,-0.005697182814583054,6.8965141060043056e-06,-0.17070161553864693,-0.2820332154227361,-0.05937001565455775,0.003906640420164277,6.886666666666667,30
q=0.25,permissive_memoryless,0.25,-0.009005520713424768,-0.012408004187042757,-0.00560303723980678,8.048215691683403e-06,-0.05255367734614585,-0.2774805401072032,0.17237318541491148,0.6363298039175909,7.033333333333333,30
q=0.10,permissive_memoryless,0.1,-0.07500273803197584,-0.24268868175084252,0.09268320568689085,0.3678447185400121,-0.22792798096832007,-1.2413433806175247,0.7854874186808845,0.6489508055574443,25.426666666666666,30
q=0.00,permissive_memoryless,0.0,-0.008630432656134345,-0.01234519727407835,-0.0049156680381903396,5.057072014680156e-05,1.4852095135503418,0.32132837776363976,2.649090649337044,0.014180688361421721,9.586666666666666,30
"q=1.00, conservative active memory",conservative_active_memory,1.0,-0.0024057205252992968,-0.003173923141398017,-0.0016375179092005766,5.278353498861371e-07,-0.06456722693095772,-0.09800778361744647,-0.03112667024446896,0.0004594807478383237,5.433333333333334,30
"q=0.00, conservative active memory",conservative_active_memory,0.0,-0.002076202886606282,-0.0025768324511034734,-0.0015755733221090905,1.7143553062225095e-11,0.5795437226782132,-0.04049842202545373,1.19958586738188,0.06640543938876402,12.25,60
"q=0 minus mean(q=0.50,0.75,1.00)",permissive_memoryless,,,,,,1.6559111289153359,0.495789915114893,2.8160323427157787,0.006719198102640432,,30
"q=0 confirmatory, fresh seeds 30-89",permissive_memoryless,,,,,,1.8020509930836526,0.9786546882616399,2.6254472979056653,4.94535499863981e-05,10.345833333333333,60
