variant,normalized_entropy,argmax_agreement,paired_difference,ci_95_lower,ci_95_upper,paired_p_value,environment_steps
From scratch,0.8112,0.668,-3.8138896109983706,-4.3178265680637775,-3.309952653932964,1.4897225366950387e-15,500015
Supervised clone,0.09047834471492679,0.999978822532825,0.004238375669580323,-0.0044300758843394015,0.012906827223500048,0.32558198801619365,0
"Residual warm start, scalar critic",0.09125199620175424,0.999978822532825,0.004238375669580323,-0.0044300758843394015,0.012906827223500048,0.32558198801619365,599846
"Residual warm start, counterfactual critic",0.09373398099218955,0.999978822532825,0.004238375669580323,-0.0044300758843394015,0.012906827223500048,0.32558198801619365,599073
"Softened clone, counterfactual critic",0.10536546533359002,0.999978822532825,0.004238375669580323,-0.0044300758843394015,0.012906827223500048,0.32558198801619365,601750
