instance,nodes,routable_arcs,mean_degree,dead_end_fraction,top5_betweenness_share,arterial_arcs,local_arcs,five_day_survival,day12_survival,day12_share_percent
Full,1050,1297,2.4704761904761905,0.22285714285714286,0.43733083053133404,138,1159,327.64206079871315,25.966224763664865,7.925180515702229
Reduced,283,350,2.4734982332155475,0.21908127208480566,0.4308451803507899,37,313,156.76315669679371,2.875709868438523,1.8344296766112134
